,10_2.5,10_3,10_3.5,10_4,15_2.5,15_3,15_3.5,15_4,20_2.5,20_3,20_3.5,20_4,25_2.5,25_3,25_3.5,25_4
10,-0.0459749470703973,-0.07378494433051985,-0.03265909658881973,-0.08242040889403396,-0.04150576299208151,-0.07655546397909652,-0.027082874881949784,-0.06321910978050146,-0.05574836826113547,-0.08255536818104682,-0.03042934207699695,-0.04562919195126739,-0.049269352384628956,-0.08464532253121539,-0.033916767977347544,-0.053889664365170196
11,-0.0525510361302846,-0.05568906632723947,-0.03948356172116246,-0.0885273390848114,-0.05296625017641191,-0.08282149597666714,-0.03539678604255776,-0.07266545483978146,-0.06433476212610932,-0.08809781949033853,-0.035124492713930325,-0.059129398781975984,-0.05809945514022995,-0.08934688397132522,-0.04403952854887309,-0.06517958792920653
12,-0.05422739587748969,-0.04860805912053955,-0.0439354210606118,-0.10139726583882129,-0.060524405568140593,-0.06183434815458745,-0.04024070029057371,-0.08339068790550126,-0.07477705163504475,-0.06196201864859383,-0.03471335934311035,-0.07239474274374641,-0.06840449317456714,-0.09349959198205529,-0.04910753981628446,-0.07666590129911496
13,-0.060773219966397556,-0.05568147147256782,-0.042585474112445426,-0.11427714039120314,-0.06809630228371558,-0.02793364486081265,-0.03975954614462621,-0.0980669134244354,-0.08384919787938719,-0.027251232210084228,-0.04600724652109299,-0.08322294473265344,-0.07034651161250666,-0.05995184433097027,-0.04993734324686402,-0.09603661019149023
14,-0.07140057282622149,-0.05841587021291251,-0.05214466883744944,-0.12352186141114083,-0.054672626308416634,-0.034707825575665784,-0.05129922072506722,-0.13162625671915246,-0.08637263645954299,-0.03357989728037226,-0.05619912688764384,-0.07366068951052747,-0.08021429705724516,-0.06715024827282866,-0.061083702448654235,-0.12790050099222086
15,-0.057807882150361645,-0.06734376445123966,-0.06145537307760516,-0.11620416944241586,-0.05991672978230148,-0.03766319641472246,-0.06145384263003708,-0.11854379437897393,-0.09063976429601583,-0.025150329372044075,-0.06517475414577484,-0.08948954213186007,-0.07689963389952537,-0.05916025729658602,-0.07298435715616389,-0.04616193431586592
16,-0.06360517658274552,-0.06443643591516031,-0.06948315351193035,-0.12541374101315964,-0.049706249224825395,-0.0460692585743748,-0.06922034507474441,-0.13691700880441665,-0.07845103287053462,-0.03339710943925517,-0.07507287802876947,-0.12475954829560143,-0.0762709932857439,-0.058121286228003215,-0.0821547285225202,-0.06119296611324551
17,-0.05334424351868054,-0.07215658691097111,-0.07848736394110298,-0.160985405555252,-0.05669662236660203,-0.04390660958305459,-0.07747752264899616,-0.1394882562347026,-0.08332387330728197,-0.03129447825518705,-0.07173995427059589,-0.06384866576769149,-0.06346225168080998,-0.06516765129753856,-0.09101528677662164,-0.06450433430965727
18,-0.060769476726019456,-0.0806203650138479,-0.07767668813265595,-0.14555200164979468,-0.05285247852990894,-0.0547871564889494,-0.07629962851309056,-0.12800518149254417,-0.09197493999973459,-0.03901059072998959,-0.10634965068839068,-0.0784977568071531,-0.06799464833399811,-0.07539725937600689,-0.08621719003544052,-0.05257503965575387
19,-0.056304766602027316,-0.08888513119587686,-0.08474896980622787,-0.12086659440521741,-0.05893185581110139,-0.06518074365206755,-0.11119679880098496,-0.14629245826167184,-0.08165700011667296,-0.04957325505543213,-0.11528547230330476,-0.08062356134572028,-0.07196938880005974,-0.08367309793581507,-0.11740925308946161,-0.07253872028012562
20,-0.06185795137653444,-0.09545221837554876,-0.11594819711037328,-0.13722013281173853,-0.06628125214543819,-0.0739448557652582,-0.11911947097635087,-0.1680798355411661,-0.08851463818141513,-0.057818144299301974,-0.12268999397007468,-0.06829111329241165,-0.06215353279586984,-0.09072391710449154,-0.15768042059472007,-0.09057524110596886
21,-0.06773905864315186,-0.10181015194961843,-0.09800384686611299,-0.13841735226329246,-0.0747772432270559,-0.08003151559539286,-0.14885474553058925,-0.14312312830419494,-0.08472050918409886,-0.06493439106844087,-0.09108291236950075,-0.08753248384652286,-0.06934860181656613,-0.09695872024278598,-0.18563534587517386,-0.06526318718599342
