,10_2.5,10_3,10_3.5,10_4,15_2.5,15_3,15_3.5,15_4,20_2.5,20_3,20_3.5,20_4,25_2.5,25_3,25_3.5,25_4
24,-0.06412737324945736,-0.10946655066591054,-0.021329495296521506,-0.09428110724485414,-0.050514134680906764,-0.07304191957463868,-0.06530470321222305,-0.06080416277288671,-0.07689492857203158,-0.06593441521336003,-0.03833280889909261,-0.08929335240839315,-0.04993511047354156,-0.10253804535960817,-0.11941855343515657,-0.042383861271679125
25,-0.07114253902665017,-0.10713880223619471,-0.0035340916502064747,-0.103244351648829,-0.03280148968044558,-0.09979954022157367,-0.05922154234582346,-0.06893797735817103,-0.0854762975288783,-0.09180434933366875,-0.05501046378777101,-0.07094660720285623,-0.05782290133059185,-0.10364129088935435,-0.10089880168501762,-0.04803875882570802
26,-0.06719410220412098,-0.10305656637655874,-0.01925526457481177,-0.1266807622063038,-0.05344412432139141,-0.10233065855820954,-0.04085836717318535,-0.08822323748070024,-0.08165164794078061,-0.09503019871456636,-0.07404871656292517,-0.040946607202856235,-0.053957740712800274,-0.09749763950857254,-0.11820847788517398,-0.01803875882570801
27,-0.06816342757929449,-0.07305656637655873,-0.038815290227367225,-0.10903417479114315,-0.07330936410682756,-0.09733400337926285,-0.058870979530191166,-0.09425376540136793,-0.08313178100385246,-0.0904574398348898,-0.04814819173499457,-0.047555044186714385,-0.05484497913079022,-0.06749763950857254,-0.13552345856539627,-0.038904129557124835
28,-0.05027848473755982,-0.06019946403854103,-0.046687808120642244,-0.07903417479114315,-0.0910315929705841,-0.06733400337926285,-0.07828343398222999,-0.09501876484552689,-0.06468355270087794,-0.0604574398348898,-0.06257133393812234,-0.07250904415929907,-0.036043220636817905,-0.06694848989233809,-0.10981477833850117,-0.037557926143625124
29,-0.07114912529413937,-0.06286929233386712,-0.022174139547742035,-0.08631001018717044,-0.0836834022864635,-0.043091467630072974,-0.08701184843335337,-0.12004792504330322,-0.08546197122138592,-0.06051292149881673,-0.043512953209083924,-0.07447035297443756,-0.04611072583242299,-0.06987529379931608,-0.1200923934064404,-0.04677823024482985
30,-0.08497563999331159,-0.05388324338683673,-0.0409401848254382,-0.1000311261389012,-0.053683402286463504,-0.045575508031237125,-0.10261667120908814,-0.13711944336712725,-0.1031195406963732,-0.06205603010754213,-0.013512953209083927,-0.08580851067725988,-0.06316611353171375,-0.06541027196104636,-0.10099948986651204,-0.060997458997901884
31,-0.09250837779157058,-0.03363708777243978,-0.02266495248351851,-0.10644711265339213,-0.05170757218925325,-0.0378664378402664,-0.08304733566051879,-0.15092861878182273,-0.1001433761597593,-0.054146510615297905,-0.023167396403846362,-0.10185296406957399,-0.054526629964490266,-0.05737698413659761,-0.07099948986651204,-0.07404191174584629
32,-0.08538599917947966,-0.035829304648052285,0.007335047516481492,-0.10900241242210212,-0.043992945141575264,-0.017131664122830566,-0.05304733566051881,-0.1620469497272876,-0.08506251910789751,-0.03315524573599127,-0.028066996670825413,-0.11410891301624634,-0.04597923748142874,-0.03650746229120571,-0.08052128889160037,-0.08727807818039589
33,-0.05538599917947967,-0.05299332587307858,-0.0031999486789984852,-0.1451935742105389,-0.04304971572330993,-0.0328748871071338,-0.06361164896842077,-0.16718903229399712,-0.05506251910789753,-0.03225258970733497,0.0019330033291745897,-0.12872023012701805,-0.015979237481428744,-0.036043793679477354,-0.08451948894223447,-0.10247441099870086
34,-0.05431761394522919,-0.057412890142223186,0.0045654656711964035,-0.162371072965528,-0.037164130848401866,-0.042803026672320124,-0.06984595463664772,-0.16714320579133538,-0.05283157250475326,-0.04896937703744601,-0.01479629306522641,-0.14299759580683652,-0.013244431478149955,-0.051283490642503954,-0.05451948894223448,-0.11744500903902849
